,ds,y,LR_pred,LR_pred_with_noise
61,1464,77.57,77.42214327,77.42065128
62,1488,77.71,77.42131687,77.3857146
63,1512,77.42,77.42049047,77.42727283
64,1536,77.47,77.41966407,77.43470583
65,1560,77.54,77.41883768,77.42204485
66,1584,77.53,77.41801128,77.43891993
67,1608,77.48,77.41718488,77.44660764
68,1632,77.46,77.41635849,77.42486158
69,1656,77.43,77.41553209,77.40869674
70,1680,77.41,77.41470569,77.45054315
71,1704,77.63,77.41387929,77.41495517
72,1728,77.58,77.4130529,77.38770225
73,1752,77.66,77.4122265,77.4187999
74,1776,77.47,77.4114001,77.38869525
75,1800,77.46,77.4105737,77.37747523
76,1824,77.45,77.40974731,77.39000453
77,1848,77.53,77.40892091,77.40959165
78,1872,77.55,77.40809451,77.44689609
79,1896,77.54,77.40726811,77.42881593
80,1920,77.36,77.40644172,77.36610471
81,1944,77.42,77.40561532,77.40620667
82,1968,77.5,77.40478892,77.39410098
83,1992,77.51,77.40396253,77.40328003
84,2016,77.4,77.40313613,77.38974572
85,2040,77.55,77.40230973,77.3790069
86,2064,77.38,77.40148333,77.41499778
87,2088,77.5,77.40065694,77.3798616
88,2112,77.24,77.39983054,77.35516558
89,2136,77.48,77.39900414,77.40078686
90,2160,77.43,77.39817774,77.3763298
91,2184,77.55,77.39735135,77.40602985
92,2208,77.35,77.39652495,77.41049219
93,2232,77.34,77.39569855,77.38006728
94,2256,77.31,77.39487215,77.40480144
95,2280,77.45,77.39404576,77.43427788
96,2304,77.42,77.39321936,77.39307635
97,2328,77.37,77.39239296,77.39101511
98,2352,77.33,77.39156656,77.38422725
99,2376,77.3,77.39074017,77.37095399
100,2400,77.54,77.38991377,77.41439644
101,2424,77.47,77.38908737,77.38535567
102,2448,77.39,77.38826098,77.35801863
103,2472,77.35,77.38743458,77.38008306
104,2496,77.35,77.38660818,77.38989825
105,2520,77.3,77.38578178,77.36906308
106,2544,77.28,77.38495539,77.3575005
107,2568,77.38,77.38412899,77.38394999
108,2592,77.45,77.38330259,77.37817768
109,2616,77.34,77.38247619,77.37854733
110,2640,77.31,77.3816498,77.36977967
111,2664,77.37,77.3808234,77.34439273
112,2688,77.34,77.379997,77.41069542
113,2712,77.42,77.3791706,77.34784616
114,2736,77.27,77.37834421,77.37454847
115,2760,77.43,77.37751781,77.36080491
116,2784,77.29,77.37669141,77.34947976
117,2808,77.29,77.37586502,77.35850029
118,2832,77.48,77.37503862,77.37536495
119,2856,77.58,77.37421222,77.38650568
120,2880,77.7,77.37338582,77.39100536
121,2904,77.51,77.37255943,77.37935971
122,2928,77.29,77.37173303,77.39294018
123,2952,77.46,77.37090663,77.4003578
124,2976,77.77,77.37008023,77.34366898
125,3000,77.6,77.36925384,77.33343805
126,3024,77.46,77.36842744,77.33525784
127,3048,77.57,77.36760104,77.37570987
128,3072,77.65,77.36677464,77.39319407
129,3096,77.42,77.36594825,77.378827
130,3120,77.52,77.36512185,77.38712542
131,3144,77.43,77.36429545,77.35323407
132,3168,77.34,77.36346905,77.40110754
133,3192,77.27,77.36264266,77.37808236
134,3216,77.24,77.36181626,77.3925786
135,3240,77.56,77.36098986,77.40258907
136,3264,77.35,77.36016347,77.33354675
137,3288,77.54,77.35933707,77.35106113
138,3312,77.41,77.35851067,77.35261211
139,3336,77.2,77.35768427,77.34066096
140,3360,77.26,77.35685788,77.35624096
141,3384,77.28,77.35603148,77.32281819
142,3408,77.38,77.35520508,77.33045605
143,3432,77.44,77.35437868,77.36544211
144,3456,77.18,77.35355229,77.34125674
145,3480,77.32,77.35272589,77.37797241
146,3504,77.42,77.35189949,77.33996883
147,3528,77.34,77.35107309,77.33503036
148,3552,77.38,77.3502467,77.32377703
149,3576,77.37,77.3494203,77.34437558
150,3600,77.2,77.3485939,77.32678969
151,3624,77.4,77.34776751,77.36359515
152,3648,77.12,77.34694111,77.31926628
153,3672,77.32,77.34611471,77.35715125
154,3696,77.41,77.34528831,77.32210121
155,3720,77.22,77.34446192,77.30984398
156,3744,77.24,77.34363552,77.31295198
157,3768,77.39,77.34280912,77.36506374
158,3792,77.16,77.34198272,77.33720626
159,3816,77.22,77.34115633,77.30074353
160,3840,77.1,77.34032993,77.33213322
161,3864,77.21,77.33950353,77.33992973
162,3888,77.11,77.33867713,77.31926035
163,3912,77.21,77.33785074,77.32580201
164,3936,77.32,77.33702434,77.32064789
165,3960,77.17,77.33619794,77.33122375
166,3984,77.17,77.33537155,77.33244252
167,4008,77.13,77.33454515,77.32757052
168,4032,77.4,77.33371875,77.34313388
169,4056,77.36,77.33289235,77.31092141
170,4080,77.32,77.33206596,77.30598672
171,4104,77.18,77.33123956,77.3163393
172,4128,77.2,77.33041316,77.31881496
173,4152,77.17,77.32958676,77.33201679
174,4176,77.27,77.32876037,77.3624215
175,4200,77.13,77.32793397,77.32741709
176,4224,77.25,77.32710757,77.28728221
177,4248,77.3,77.32628117,77.3210021
178,4272,77.26,77.32545478,77.34226002
179,4296,77.16,77.32462838,77.30579499
180,4320,77.3,77.32380198,77.31817449
181,4344,77.27,77.32297558,77.32372668
182,4368,77.29,77.32214919,77.34457584
183,4392,77.25,77.32132279,77.35200948
184,4416,77.33,77.32049639,77.32346282
185,4440,77.09,77.31967,77.31628491
186,4464,77.25,77.3188436,77.30399651
187,4488,77.05,77.3180172,77.3182279
188,4512,77.31,77.3171908,77.32142275
189,4536,77.22,77.31636441,77.33120698
190,4560,77.4,77.31553801,77.33485166
191,4584,77.04,77.31471161,77.26263406
192,4608,77.02,77.31388521,77.31366981
193,4632,77.19,77.31305882,77.29109096
194,4656,77.13,77.31223242,77.30207276
195,4680,77.05,77.31140602,77.29356619
196,4704,76.98,77.31057962,77.3152755
197,4728,77.22,77.30975323,77.31448447
198,4752,77.01,77.30892683,77.35890516
199,4776,77.13,77.30810043,77.33696525
200,4800,77.06,77.30727404,77.32001759
201,4824,77.27,77.30644764,77.33915645
202,4848,77.25,77.30562124,77.30884148
203,4872,77.06,77.30479484,77.28606825
204,4896,77.2,77.30396845,77.28754783
205,4920,77.14,77.30314205,77.26604184
206,4944,77.1,77.30231565,77.32312083
207,4968,77.33,77.30148925,77.27171913
208,4992,77.27,77.30066286,77.30528219
209,5016,77.25,77.29983646,77.28430526
210,5040,77.29,77.29901006,77.28393829
211,5064,77.17,77.29818366,77.28011233
212,5088,77.19,77.29735727,77.27204635
213,5112,77.12,77.29653087,77.27677396
214,5136,77.29,77.29570447,77.32978829
215,5160,77.11,77.29487808,77.29665922
216,5184,77.25,77.29405168,77.28113717
217,5208,77.16,77.29322528,77.31259347
218,5232,77.22,77.29239888,77.31634481
219,5256,77.08,77.29157249,77.31423488
220,5280,77.12,77.29074609,77.26389724
221,5304,77.19,77.28991969,77.26942502
222,5328,77.24,77.28909329,77.28473367
223,5352,77.24,77.2882669,77.32615596
224,5376,77.15,77.2874405,77.29632984
225,5400,77.22,77.2866141,77.28351307
226,5424,77.24,77.2857877,77.3050525
227,5448,77.17,77.28496131,77.31416694
228,5472,77.31,77.28413491,77.26781199
229,5496,77.07,77.28330851,77.28897086
230,5520,77.15,77.28248211,77.26854711
231,5544,77.06,77.28165572,77.2957391
232,5568,77.34,77.28082932,77.28276334
233,5592,77.09,77.28000292,77.22396985
234,5616,77.01,77.27917653,77.30164116
235,5640,77.21,77.27835013,77.27814635
236,5664,77.17,77.27752373,77.29699764
237,5688,77.2,77.27669733,77.27488989
238,5712,77.27,77.27587094,77.27349256
239,5736,77.22,77.27504454,77.30091747
240,5760,77.38,77.27421814,77.29388481
241,5784,77.27,77.27339174,77.26952012
242,5808,77.43,77.27256535,77.30017207
